model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,0,0,2.4058507323265075,2.4354007482528686,0.029550015926361084,0.9130425453186035,0.8072754919528962,-0.1057670533657074
llama,squad,noise_1_character,0,1,1.8604648292064667,1.8686133742332458,0.008148545026779174,0.35533294677734373,0.33025474548339845,-0.025078201293945314
llama,squad,noise_1_character,0,2,0.9911934077739716,1.00984648168087,0.0186530739068985,0.13252728655934334,0.11832604035735131,-0.014201246201992035
llama,squad,noise_1_character,0,3,1.8522098332643508,1.8151602685451507,-0.03704956471920014,0.11709260940551758,0.11178455352783204,-0.0053080558776855465
llama,squad,noise_1_character,0,4,2.454012668132782,2.474970632791519,0.020957964658737182,0.21568598747253417,0.21464844942092895,-0.0010375380516052246
llama,squad,noise_1_character,0,5,2.4773331761360167,2.495175528526306,0.017842352390289307,0.19401254653930664,0.192488431930542,-0.0015241146087646485
llama,squad,noise_1_character,0,6,2.2398336112499235,2.2541285872459413,0.014294975996017456,0.08072261214256286,0.07654088586568833,-0.004181726276874543
llama,squad,noise_1_character,0,7,2.4376305520534514,2.457804536819458,0.02017398476600647,0.12239496409893036,0.11113232523202896,-0.011262638866901398
llama,squad,noise_1_character,0,8,2.9016433656215668,2.9295126855373383,0.027869319915771483,0.16989612579345703,0.1822376251220703,0.012341499328613281
llama,squad,noise_1_character,0,9,2.81544046998024,2.8289157867431642,0.013475316762924194,0.19799766540527344,0.20476875305175782,0.006771087646484375
llama,squad,noise_1_character,0,10,2.4519790709018707,2.4957067131996156,0.04372764229774475,0.4530273675918579,0.42746164798736574,-0.025565719604492186
llama,squad,noise_1_character,0,11,3.0808029770851135,3.1079390168190004,0.02713603973388672,0.22742986679077148,0.2258936882019043,-0.0015361785888671875
llama,squad,noise_1_character,0,12,2.144849544763565,2.162097895145416,0.017248350381851196,0.24306659698486327,0.24265670776367188,-0.00040988922119140626
llama,squad,noise_1_character,0,13,2.3511238157749177,2.3683860063552857,0.017262190580368042,0.14373359680175782,0.14208297729492186,-0.0016506195068359375
llama,squad,noise_1_character,0,14,2.0599722445011137,2.093651157617569,0.03367891311645508,0.5119657516479492,0.46615209579467776,-0.04581365585327148
llama,squad,noise_1_character,0,15,3.345556104183197,3.3463172197341917,0.000761115550994873,0.1374582290649414,0.1471954345703125,0.009737205505371094
llama,squad,noise_1_character,0,16,1.569436565041542,1.5711874544620514,0.0017508894205093383,0.04950520396232605,0.04478700160980224,-0.004718202352523804
llama,squad,noise_1_character,0,17,2.657367151975632,2.612945032119751,-0.04442211985588074,0.06403923034667969,0.08428630828857422,0.02024707794189453
llama,squad,noise_1_character,0,18,1.455321741104126,1.4661654949188232,0.010843753814697266,0.042932653427124025,0.04308717250823975,0.00015451908111572266
