model,dataset,layer,condition,top1_feature,top1_abs_delta,top1_signed_delta,mean_feature_abs_change,max_feature_abs_change,feature_stability,num_samples
llama,squad,15,noise_1_character,21947,0.00787,0.007719,0.002994,0.00787,100.0,1500
llama,squad,15,noise_2_word_dropout,86546,0.010736,0.01046,0.002872,0.010736,100.0,1500
llama,squad,15,noise_3_token_shuffle,124424,0.00282,0.002695,0.001263,0.00282,100.0,1500
llama,squad,15,noise_4_semantic,39261,0.007992,0.007763,0.002815,0.007992,100.0,1500
llama,squad,15,noise_5_adversarial,30999,0.004982,-0.004758,0.001138,0.004982,100.0,1500
llama,squad,18,noise_1_character,51707,0.012818,0.012484,0.005478,0.012818,99.87,1500
llama,squad,18,noise_2_word_dropout,74446,0.011591,0.011185,0.004405,0.011591,99.33,1500
llama,squad,18,noise_3_token_shuffle,77657,0.00413,0.003974,0.001842,0.00413,100.0,1500
llama,squad,18,noise_4_semantic,73341,0.011501,0.010533,0.004366,0.011501,99.8,1500
llama,squad,18,noise_5_adversarial,94074,0.006333,-0.005677,0.001953,0.006333,99.93,1500
llama,squad,20,noise_1_character,96573,0.016693,0.016214,0.006919,0.016693,99.73,1500
llama,squad,20,noise_2_word_dropout,116554,0.014891,0.014224,0.005711,0.014891,99.8,1500
llama,squad,20,noise_3_token_shuffle,117680,0.004609,0.00438,0.002254,0.004609,99.87,1500
llama,squad,20,noise_4_semantic,106247,0.013354,0.012687,0.005045,0.013354,99.73,1500
llama,squad,20,noise_5_adversarial,116554,0.007745,-0.006953,0.002597,0.007745,99.87,1500
llama,squad,22,noise_1_character,5682,0.03937,0.038974,0.008918,0.03937,99.93,1500
llama,squad,22,noise_2_word_dropout,33405,0.026224,0.025328,0.008158,0.026224,99.93,1500
llama,squad,22,noise_3_token_shuffle,5682,0.005266,0.005057,0.002586,0.005266,100.0,1500
llama,squad,22,noise_4_semantic,3245,0.017013,0.016232,0.006711,0.017013,99.87,1500
llama,squad,22,noise_5_adversarial,33405,0.012453,-0.011016,0.003762,0.012453,99.87,1500
llama,squad,25,noise_1_character,39417,0.044083,0.043313,0.013722,0.044083,98.4,1500
llama,squad,25,noise_2_word_dropout,60891,0.025516,0.024703,0.012695,0.025516,99.0,1500
