model,dataset,condition,layer,rel_l2,cos_dist
llama,squad,noise_1_character,0,0.050130547154694796,0.032437297347933054
llama,squad,noise_1_character,1,0.04608503075316548,0.02732318587601185
llama,squad,noise_1_character,2,0.04726400991901755,0.027910201754420997
llama,squad,noise_1_character,3,0.04657940413802862,0.027202040003612638
llama,squad,noise_1_character,4,0.04648691004142165,0.026557705607265236
llama,squad,noise_1_character,5,0.0463650825433433,0.02596227019093931
llama,squad,noise_1_character,6,0.046176750157028434,0.02525563331320882
llama,squad,noise_1_character,7,0.046386423129588364,0.02475445413030684
llama,squad,noise_1_character,8,0.04654968269169331,0.024732198901474475
llama,squad,noise_1_character,9,0.04654184721410275,0.024179126182571054
llama,squad,noise_1_character,10,0.0457105578482151,0.023169527081772685
llama,squad,noise_1_character,11,0.045192553997039794,0.023360817981883882
llama,squad,noise_1_character,12,0.04574042536318302,0.023642884669825434
llama,squad,noise_1_character,13,0.044471081737428905,0.022552628684788942
llama,squad,noise_1_character,14,0.043819746859371664,0.022169626420363783
llama,squad,noise_1_character,15,0.04419023768976331,0.02288284830749035
llama,squad,noise_1_character,16,0.04354286912828684,0.02272916065528989
llama,squad,noise_1_character,17,0.042813784908503294,0.022108848914504053
llama,squad,noise_1_character,18,0.04278401546180248,0.022530149249359966
llama,squad,noise_1_character,19,0.042563397269696,0.022313001593574883
llama,squad,noise_1_character,20,0.04267424363642931,0.022309907665476202
llama,squad,noise_1_character,21,0.04303499560803175,0.022755177905783058
llama,squad,noise_1_character,22,0.04245894160121679,0.022171199889853596
llama,squad,noise_1_character,23,0.04221617728471756,0.02185023292899132
llama,squad,noise_1_character,24,0.04168643351644277,0.021159863732755184
llama,squad,noise_1_character,25,0.041714036222547296,0.02081123076379299
llama,squad,noise_1_character,26,0.04194355977699161,0.02051794041879475
llama,squad,noise_1_character,27,0.041319419778883454,0.01933554264716804
llama,squad,noise_1_character,28,0.041893520932644604,0.01964103626087308
llama,squad,noise_1_character,29,0.041973778922110794,0.019337411671876907
llama,squad,noise_1_character,30,0.04291986290365458,0.01983500654809177
llama,squad,noise_1_character,31,0.043894661031663416,0.02049699549563229
llama,squad,noise_1_character,32,0.04561410967260599,0.023039064640179276
llama,squad,noise_2_word_dropout,0,0.051466097235679624,0.03392861153930426
llama,squad,noise_2_word_dropout,1,0.04936263917945325,0.02867925045080483
llama,squad,noise_2_word_dropout,2,0.048163844011723994,0.029022594373673202
llama,squad,noise_2_word_dropout,3,0.047408588044345376,0.02824639244005084
llama,squad,noise_2_word_dropout,4,0.04661775076761842,0.026918151611462236
llama,squad,noise_2_word_dropout,5,0.04641020867973566,0.025932418704032897
llama,squad,noise_2_word_dropout,6,0.04657609911635518,0.025160388620570302
llama,squad,noise_2_word_dropout,7,0.04650391571223736,0.024368882356211544
llama,squad,noise_2_word_dropout,8,0.0470460513420403,0.024363706149160863
llama,squad,noise_2_word_dropout,9,0.04638794839382172,0.023555760383605958
llama,squad,noise_2_word_dropout,10,0.04527791364118457,0.02230392481200397
